

--------------------------------
﻿"PKP Usage statistics report"
"PKP Default usage statistics report (COUNTER ready)"
"Metric: ojs::counter"
"Report URL: https://riviste.unimi.it/index.php/cinemaetcie/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""256""],""context_id"":96,""month"":""202210""}"

,Type,Journal,City,Country,Month,Count
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Cimitile,IT,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Copenhagen,DK,202210,15
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Dallas,US,202210,3
,Issue,"Cinéma & Cie. Film and Media Studies Journal","Den Bosch",NL,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal","Far Rockaway",US,202210,4
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Fitchburg,US,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Florence,IT,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Franconville,FR,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Hull,GB,202210,3
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Köln,DE,202210,5
,Issue,"Cinéma & Cie. Film and Media Studies Journal",London,GB,202210,10
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Malappuram,IN,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Marietta,US,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Milan,IT,202210,17
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Minneapolis,US,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Montréal,CA,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Mumbai,IN,202210,25
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Napoli,IT,202210,3
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Nerviano,IT,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal","New Delhi",IN,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Oakland,US,202210,29
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Ottawa,CA,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Pamplona,ES,202210,3
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Passau,DE,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Piacenza,IT,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Pieve,IT,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Rome,IT,202210,15
,Issue,"Cinéma & Cie. Film and Media Studies Journal","San Diego",US,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal","Santa Maria A Vico",IT,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Seoul,KR,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Southend,GB,202210,19
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Sulaymaniyah,IQ,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Surrey,CA,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Tavagnacco,IT,202210,10
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Tredozio,IT,202210,4
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Udine,IT,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Varese,IT,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Wakefield,US,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Woodlyn,US,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Wroclaw,PL,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,,202210,166


--------------------------------
﻿"PKP Usage statistics report"
"PKP Default usage statistics report (COUNTER ready)"
"Metric: ojs::counter"
"Report URL: https://riviste.unimi.it/index.php/cinemaetcie/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""515""],""context_id"":96,""month"":""202210""}"

,Type,Journal,City,Country,Month,Count
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,AU,202210,5
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,BR,202210,6
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,CA,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,CO,202210,2
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,CZ,202210,4
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,DE,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,EG,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,FR,202210,32
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,GB,202210,18
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,GE,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,ID,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,IN,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,IT,202210,36
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,KR,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,MA,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,NL,202210,5
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,PL,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,PT,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,RU,202210,6
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,SA,202210,2
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,TN,202210,2
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,TR,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,UA,202210,1
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,US,202210,10
,"Submission Files","Cinéma & Cie. Film and Media Studies Journal",,ZA,202210,1
